title,price,rating
"Samsung Galaxy M33 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Blue","KSh 26,499",5 out of 5
"Itel It 2160, 1.77'' Blue, Fm Radio,1000 MAh,Dual Sim+ FREE EARPHONES","KSh 1,390",4.6 out of 5
"Samsung Galaxy M33 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Ocean Blue","KSh 25,899",5 out of 5
"Tecno Pop 6 6.1"", 2GB RAM+32GB, 5MP, 4G (Dual Sim) 5000MAh -Lime Green","KSh 8,949",4.3 out of 5
Oppo A83 4GB+64GB RAM - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock-(Blue),"KSh 7,200",0 out of 5
"Samsung Galaxy A03, 6.5"",Screen Size,,64GB //4GB RAM (Dual SIM), 5000mAh, \,L.A''","KSh 15,250",4.6 out of 5
"XIAOMI Redmi A1+, 6.52"",( 32GB + 2GB),  5000mAh, 4G LTE, (Dual SIM) -  BLACK","KSh 10,345",4.8 out of 5
"XIAOMI Redmi A1+ (Plus), 6.52""  2 GB + 32 GB 5000mAh (Dual SIM) 4G LTE -  Blue + Smart Watch & Airpods","KSh 10,999",5 out of 5
"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, MEMPHIS GREEN","KSh 22,845",0 out of 5
"XIAOMI Redmi Note 11, 6.43"" , AMOLED, 4GB+64GB, 50MP, 4G LTE, Gray","KSh 21,499",4.6 out of 5
"Tecno Spark 8C, 6.6"", 64GB + 2GB RAM (Dual SIM), 5000mAh, Turquoise Cyan","KSh 12,999",5 out of 5
Not found,error,error
Oppo A31 6GB RAM+128G ROM 6.5in ScreenHD Camera12MP Fingerprint Smartphone(White,"KSh 13,890",5 out of 5
"Tecno POP 2F, 5.5'', 16 GB + 1 GB (Dual SIM) 2400mAh - Midnight Black","KSh 7,699",4.1 out of 5
Generic Nokia C2-05 0.3MP Camera Radio Bluetooth GSM 900 / 1800 Cellphone,"KSh 2,700",5 out of 5
"Tecno Spark 8C 6.6"" 64GB+ 2GB RAM Dual Sim, Black + Smart Watch + P.Bank","KSh 13,698",4.4 out of 5
"XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G, Dual SIM - Mint Green","KSh 16,599",0 out of 5
